Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimID
,1.0,Tuesday,Chevrolet,Urban,Thursday,Feb,2.0,Female,Single,34.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,5313.0,3.0,400.0,3.0,more than 30,,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,5312
Jan,3.0,Thursday,,Urban,Wednesday,Mar,1.0,Male,Married,31.0,,Sedan - Liability,Sport,20000 to 29000,5314.0,1.0,400.0,2.0,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,2019.0,Liability,5313
jan,3.0,thursday,honda,urban,,,4.0,male,single,0.0,third party,sedan - all perils,sedan,more than 69000,5315.0,6.0,,4.0,more than 30,more than 30,1,new,16 to 17,no,,external,none,no change,1 vehicle,2019.0,,5314
,4.0,Friday,Honda,Urban,Friday,Jan,4.0,Male,,0.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,5316.0,8.0,400.0,3.0,more than 30,more than 30,more than 4,new,,No,No,External,none,no change,1 vehicle,2019.0,Collision,5315
Jan,3.0,Thursday,,Rural,Friday,Jan,4.0,Male,Single,60.0,,Sedan - Liability,Sport,40000 to 59000,,14.0,400.0,,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,,no change,1 vehicle,2019.0,Liability,5316
Jan,1.0,Monday,Pontiac,Urban,Tuesday,Jan,1.0,Male,Married,51.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,5318.0,,400.0,3.0,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,2019.0,Liability,5317
dec,,wednesday,toyota,urban,,,3.0,male,married,37.0,policy holder,,sedan,20000 to 29000,,14.0,400.0,3.0,more than 30,more than 30,more than 4,,36 to 40,no,no,external,3 to 5,no change,1 vehicle,2019.0,collision,5318
,4.0,sunday,toyota,urban,monday,dec,4.0,,married,52.0,policy holder,sedan - collision,sedan,20000 to 29000,5320.0,3.0,400.0,1.0,more than 30,more than 30,none,,41 to 50,no,no,external,3 to 5,no change,1 vehicle,2019.0,collision,5319
Jul,4.0,Tuesday,Toyota,Urban,Thursday,Jul,,Male,Single,23.0,,Sedan - Collision,Sedan,20000 to 29000,,8.0,400.0,1.0,more than 30,more than 30,more than 4,4 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,2019.0,Collision,5320
dec,,thursday,mazda,urban,,jan,1.0,male,single,30.0,policy holder,sedan - collision,sedan,20000 to 29000,5322.0,4.0,400.0,2.0,more than 30,more than 30,none,3 years,31 to 35,no,,internal,,no change,1 vehicle,2019.0,collision,5321
dec,3.0,saturday,toyota,,thursday,jan,3.0,male,married,27.0,policy holder,sedan - all perils,,more than 69000,5323.0,4.0,400.0,1.0,more than 30,more than 30,none,7 years,31 to 35,no,no,external,,no change,1 vehicle,2019.0,,5322
Dec,4.0,Wednesday,Pontiac,Urban,Wednesday,Jan,3.0,Female,Married,46.0,,,Sedan,less than 20000,5324.0,7.0,,2.0,more than 30,more than 30,none,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,2019.0,All Perils,5323
Dec,4.0,Sunday,Mazda,Urban,Wednesday,Jan,3.0,Male,Married,79.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,5325.0,9.0,,2.0,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,2019.0,,5324
dec,5.0,thursday,toyota,urban,friday,jan,2.0,male,married,54.0,policy holder,sedan - liability,sport,20000 to 29000,5326.0,8.0,,4.0,more than 30,more than 30,2 to 4,,41 to 50,no,no,external,more than 5,no change,,2019.0,liability,5325
Jan,1.0,Sunday,Mazda,Urban,Wednesday,Jan,1.0,Male,Married,35.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,5327.0,3.0,400.0,2.0,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,2019.0,Liability,5326
jan,1.0,sunday,honda,urban,tuesday,jan,2.0,male,married,,policy holder,sedan - liability,sport,20000 to 29000,5328.0,5.0,400.0,4.0,more than 30,more than 30,2 to 4,6 years,31 to 35,no,,external,1 to 2,no change,1 vehicle,2019.0,liability,5327
jan,1.0,sunday,chevrolet,urban,monday,jan,2.0,male,married,46.0,policy holder,sedan - all perils,sedan,20000 to 29000,5329.0,15.0,400.0,3.0,more than 30,more than 30,1,more than 7,,no,no,external,1 to 2,,1 vehicle,2019.0,all perils,5328
Dec,5.0,Friday,Toyota,Urban,Monday,Jan,,Male,Divorced,36.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,5330.0,15.0,400.0,2.0,,more than 30,1,7 years,36 to 40,No,No,External,none,,1 vehicle,2019.0,Collision,5329
,4.0,Wednesday,Saturn,Urban,Wednesday,Aug,1.0,Male,Married,44.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,5331.0,7.0,400.0,2.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,3 to 4,2019.0,All Perils,5330
Jan,1.0,Monday,Honda,Urban,Monday,Jan,1.0,Male,Single,0.0,Policy Holder,,Sedan,more than 69000,5332.0,12.0,400.0,2.0,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,,Collision,5331
Jan,1.0,Tuesday,Chevrolet,Rural,Wednesday,Jan,1.0,,Married,40.0,Third Party,Sedan - All Perils,Sedan,30000 to 39000,5333.0,1.0,700.0,2.0,more than 30,more than 30,none,7 years,36 to 40,,No,External,more than 5,no change,1 vehicle,2019.0,,5332
jan,2.0,friday,honda,urban,monday,,,male,married,79.0,policy holder,sedan - liability,sport,20000 to 29000,5334.0,5.0,400.0,3.0,more than 30,more than 30,1,more than 7,over 65,no,no,external,none,no change,1 vehicle,2019.0,liability,5333
,2.0,friday,vw,rural,saturday,jan,2.0,male,,41.0,,sedan - all perils,sedan,more than 69000,5335.0,3.0,400.0,2.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,no,no,external,3 to 5,4 to 8 years,2 vehicles,2019.0,all perils,5334
,2.0,Monday,Mazda,Urban,Wednesday,Jan,2.0,Male,Married,48.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,5336.0,4.0,,1.0,more than 30,more than 30,1,more than 7,,No,No,External,,no change,1 vehicle,2019.0,Collision,5335
,2.0,Sunday,Honda,Urban,Tuesday,Jan,2.0,Male,Married,45.0,Policy Holder,Sedan - Liability,Sport,more than 69000,5337.0,,400.0,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,Liability,5336
Jan,,Saturday,Honda,Urban,Friday,Jan,3.0,Male,Married,42.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,5338.0,12.0,400.0,3.0,more than 30,more than 30,1,6 years,36 to 40,No,,,more than 5,no change,1 vehicle,2019.0,All Perils,5337
Jan,2.0,Saturday,Toyota,Urban,Monday,Jan,2.0,Female,Married,56.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,5339.0,15.0,400.0,2.0,more than 30,,none,,51 to 65,No,No,External,1 to 2,no change,1 vehicle,2019.0,Collision,5338
jan,,saturday,toyota,urban,monday,jan,2.0,,married,,third party,sedan - collision,,20000 to 29000,5340.0,,,1.0,more than 30,,none,more than 7,36 to 40,no,,external,3 to 5,no change,1 vehicle,2019.0,collision,5339
jan,3.0,friday,toyota,urban,friday,jan,3.0,male,married,39.0,policy holder,,sport,20000 to 29000,5341.0,4.0,400.0,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,no,no,external,,no change,1 vehicle,2019.0,liability,5340
Jan,3.0,Thursday,Ford,Urban,Wednesday,Jan,4.0,Female,Married,54.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,5342.0,16.0,,1.0,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,3 to 5,no change,,2019.0,All Perils,5341
jan,3.0,tuesday,pontiac,urban,wednesday,jan,3.0,male,,,policy holder,sedan - all perils,sedan,20000 to 29000,5343.0,,400.0,1.0,,more than 30,none,more than 7,41 to 50,no,no,,3 to 5,no change,1 vehicle,2019.0,all perils,5342
Jan,4.0,,Toyota,Urban,Sunday,Jan,4.0,Male,Single,29.0,,Sedan - All Perils,Sedan,20000 to 29000,5344.0,7.0,400.0,,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,2019.0,All Perils,5343
jan,4.0,saturday,toyota,urban,wednesday,feb,1.0,male,married,27.0,policy holder,sedan - collision,sedan,20000 to 29000,,11.0,,4.0,,more than 30,1,6 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,collision,5344
Jan,5.0,Saturday,Mazda,Urban,Tuesday,Feb,1.0,Female,Single,42.0,Policy Holder,Sedan - Liability,Sport,more than 69000,5346.0,14.0,400.0,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,,Liability,5345
Feb,1.0,Wednesday,Toyota,Rural,Wednesday,Feb,1.0,Male,Married,34.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,,12.0,400.0,3.0,more than 30,,2 to 4,5 years,,No,No,External,,no change,1 vehicle,2019.0,Liability,5346
feb,1.0,tuesday,pontiac,urban,tuesday,feb,1.0,,married,31.0,policy holder,sedan - liability,sport,less than 20000,5348.0,,400.0,3.0,more than 30,more than 30,2 to 4,,31 to 35,no,no,external,,no change,1 vehicle,,liability,5347
dec,5.0,wednesday,honda,urban,friday,jan,2.0,male,,,third party,sedan - all perils,sedan,20000 to 29000,5349.0,,400.0,,more than 30,more than 30,none,7 years,41 to 50,no,no,external,more than 5,no change,1 vehicle,2019.0,all perils,5348
dec,5.0,friday,mazda,rural,,jan,2.0,male,married,30.0,policy holder,sedan - liability,sport,more than 69000,5350.0,2.0,400.0,4.0,more than 30,more than 30,more than 4,5 years,31 to 35,no,no,external,more than 5,no change,1 vehicle,,liability,5349
dec,5.0,thursday,mazda,urban,tuesday,,1.0,male,married,26.0,policy holder,,sport,30000 to 39000,5351.0,5.0,,3.0,more than 30,,1,7 years,,no,no,external,3 to 5,no change,1 vehicle,,liability,5350
dec,5.0,,honda,urban,,,2.0,,single,21.0,policy holder,sedan - collision,sedan,30000 to 39000,5352.0,11.0,400.0,,more than 30,more than 30,none,,26 to 30,,no,external,none,no change,1 vehicle,,collision,5351
Jan,,Tuesday,Dodge,Urban,Wednesday,Feb,1.0,Male,Married,60.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,5353.0,6.0,400.0,4.0,more than 30,more than 30,1,more than 7,,No,No,External,3 to 5,no change,1 vehicle,2019.0,Collision,5352
jan,1.0,monday,toyota,urban,tuesday,jan,1.0,male,single,26.0,policy holder,sedan - liability,sport,20000 to 29000,5354.0,3.0,400.0,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,liability,5353
Jan,1.0,Wednesday,Honda,Urban,Monday,Jan,2.0,Male,Single,29.0,,Sedan - Collision,Sedan,20000 to 29000,5355.0,,400.0,1.0,more than 30,more than 30,none,,31 to 35,No,No,External,1 to 2,no change,1 vehicle,2019.0,Collision,5354
Jan,1.0,Thursday,Honda,,Thursday,Jan,2.0,Female,Married,43.0,Third Party,Sport - Collision,Sport,more than 69000,5356.0,9.0,400.0,2.0,more than 30,more than 30,,4 years,36 to 40,No,No,External,none,2 to 3 years,2 vehicles,,Collision,5355
Jan,1.0,Thursday,Pontiac,Urban,Monday,,2.0,Male,Single,33.0,Third Party,,Sedan,20000 to 29000,5357.0,8.0,400.0,2.0,more than 30,more than 30,none,6 years,31 to 35,No,,External,none,no change,1 vehicle,2019.0,All Perils,5356
Jan,2.0,Tuesday,Mazda,Urban,Tuesday,Jan,2.0,Male,Single,,Policy Holder,Sedan - Collision,,20000 to 29000,5358.0,10.0,400.0,1.0,more than 30,more than 30,,5 years,26 to 30,No,No,External,none,no change,,2019.0,Collision,5357
Jul,5.0,Thursday,Accura,Urban,Monday,Aug,1.0,Male,Married,48.0,Third Party,Sedan - Collision,Sedan,40000 to 59000,5359.0,5.0,400.0,1.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,2019.0,Collision,5358
,2.0,friday,pontiac,urban,monday,jan,4.0,male,married,41.0,policy holder,sedan - collision,sedan,20000 to 29000,5360.0,15.0,400.0,4.0,more than 30,more than 30,1,more than 7,36 to 40,no,no,,more than 5,no change,1 vehicle,2019.0,collision,5359
Jul,5.0,Friday,Pontiac,Urban,Thursday,Aug,3.0,Male,,32.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,5361.0,,400.0,3.0,more than 30,more than 30,none,7 years,31 to 35,,No,External,3 to 5,no change,1 vehicle,2019.0,All Perils,5360
Jan,,Wednesday,Toyota,Urban,Monday,,,Male,Single,38.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,5362.0,7.0,400.0,3.0,more than 30,more than 30,none,,36 to 40,No,No,External,more than 5,,1 vehicle,2019.0,,5361
Jul,5.0,Friday,Honda,Urban,Wednesday,,1.0,Female,Married,54.0,,Sedan - Collision,Sedan,20000 to 29000,,4.0,400.0,4.0,more than 30,,2 to 4,,41 to 50,No,No,,more than 5,no change,1 vehicle,2019.0,Collision,5362
feb,1.0,thursday,honda,urban,,feb,2.0,male,married,,third party,sedan - all perils,sedan,20000 to 29000,5364.0,4.0,400.0,3.0,,,none,5 years,31 to 35,no,no,external,none,no change,,2019.0,all perils,5363
Feb,2.0,Tuesday,Chevrolet,Urban,Tuesday,Feb,2.0,Male,Married,45.0,Policy Holder,Utility - Collision,Utility,more than 69000,5365.0,7.0,400.0,3.0,more than 30,more than 30,1,,36 to 40,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,5364
Feb,,Monday,Mazda,Urban,Wednesday,Feb,,Male,Married,60.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,5366.0,3.0,400.0,2.0,more than 30,more than 30,more than 4,more than 7,51 to 65,,No,External,none,no change,1 vehicle,2019.0,Collision,5365
Sep,4.0,Saturday,Mazda,Urban,Tuesday,Sep,4.0,Female,Married,46.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,5367.0,5.0,400.0,,more than 30,more than 30,more than 4,more than 7,41 to 50,,No,,more than 5,no change,1 vehicle,2019.0,Liability,5366
feb,4.0,tuesday,chevrolet,urban,,mar,2.0,male,married,43.0,third party,,sport,20000 to 29000,5368.0,4.0,400.0,4.0,more than 30,,1,7 years,36 to 40,no,no,external,none,no change,1 vehicle,2019.0,liability,5367
Feb,3.0,Monday,Pontiac,Urban,Tuesday,Feb,4.0,Female,Single,35.0,Policy Holder,Sedan - Liability,Sport,more than 69000,5369.0,14.0,400.0,3.0,,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,2019.0,Liability,5368
feb,,monday,pontiac,urban,monday,mar,2.0,male,married,27.0,policy holder,sedan - all perils,sedan,20000 to 29000,5370.0,9.0,400.0,3.0,more than 30,more than 30,none,6 years,31 to 35,no,no,external,none,1 year,1 vehicle,2019.0,all perils,5369
Feb,2.0,Saturday,Pontiac,,Wednesday,Apr,1.0,Male,,44.0,Policy Holder,Sedan - Collision,Sedan,,5371.0,14.0,,,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,Collision,5370
feb,2.0,monday,ford,urban,tuesday,,3.0,male,married,38.0,third party,sedan - collision,sedan,40000 to 59000,5372.0,15.0,400.0,3.0,more than 30,more than 30,1,7 years,36 to 40,,no,external,more than 5,no change,3 to 4,,collision,5371
Feb,2.0,,Mazda,,Monday,Feb,2.0,Male,Married,66.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,5373.0,,400.0,1.0,more than 30,more than 30,none,,over 65,No,No,External,none,no change,1 vehicle,2019.0,Collision,5372
feb,2.0,thursday,honda,urban,friday,,2.0,male,single,0.0,policy holder,sedan - liability,sport,,5374.0,12.0,400.0,1.0,more than 30,more than 30,2 to 4,,16 to 17,no,no,external,none,no change,1 vehicle,2019.0,liability,5373
Feb,2.0,Thursday,Ford,Urban,Friday,Feb,3.0,Male,Married,,Policy Holder,Utility - All Perils,Utility,more than 69000,5375.0,13.0,400.0,3.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,,no change,,2019.0,All Perils,5374
Feb,,Monday,Toyota,,Monday,Feb,1.0,Female,Married,60.0,Policy Holder,Sedan - Liability,Sport,less than 20000,5376.0,,400.0,1.0,more than 30,more than 30,1,5 years,51 to 65,No,No,External,none,no change,1 vehicle,2019.0,Liability,5375
,4.0,Wednesday,Chevrolet,Urban,Wednesday,Apr,3.0,Male,Single,28.0,,Utility - All Perils,Utility,more than 69000,5377.0,11.0,400.0,1.0,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,,none,,2 vehicles,2019.0,All Perils,5376
Jan,3.0,,Pontiac,Urban,Tuesday,Feb,2.0,,,77.0,,Utility - All Perils,Utility,more than 69000,5378.0,14.0,400.0,2.0,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,2019.0,All Perils,5377
jan,2.0,wednesday,vw,urban,wednesday,feb,4.0,male,,50.0,policy holder,sedan - collision,sedan,more than 69000,5379.0,8.0,400.0,3.0,more than 30,more than 30,none,more than 7,41 to 50,no,no,external,3 to 5,no change,,2019.0,collision,5378
feb,4.0,tuesday,chevrolet,urban,monday,mar,3.0,male,married,36.0,policy holder,sedan - collision,sedan,30000 to 39000,5380.0,11.0,400.0,,more than 30,more than 30,none,7 years,36 to 40,no,no,external,more than 5,no change,1 vehicle,,collision,5379
,,Sunday,Toyota,Urban,Wednesday,Feb,4.0,Male,Single,48.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,5381.0,3.0,400.0,3.0,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,2019.0,Liability,5380
feb,3.0,,accura,urban,tuesday,,4.0,male,married,37.0,policy holder,utility - all perils,utility,more than 69000,,10.0,400.0,3.0,more than 30,more than 30,none,7 years,36 to 40,no,no,external,1 to 2,no change,,2019.0,,5381
feb,3.0,wednesday,toyota,,monday,feb,,male,married,28.0,policy holder,sedan - liability,sport,20000 to 29000,5383.0,14.0,400.0,2.0,more than 30,more than 30,more than 4,7 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,liability,5382
Feb,1.0,Thursday,Mazda,Urban,,Feb,2.0,Female,Single,28.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,,12.0,400.0,4.0,more than 30,more than 30,1,,31 to 35,No,No,,3 to 5,no change,1 vehicle,2019.0,Collision,5383
Jan,5.0,Monday,Mazda,Urban,Monday,Jan,5.0,Male,Married,,Policy Holder,Sedan - Liability,Sport,20000 to 29000,,13.0,400.0,3.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,Liability,5384
Feb,1.0,Tuesday,Toyota,Urban,Tuesday,Feb,1.0,Male,Single,35.0,Third Party,Sedan - Liability,Sport,20000 to 29000,5386.0,4.0,400.0,2.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,,no change,1 vehicle,2019.0,,5385
Feb,1.0,,Chevrolet,Urban,Thursday,Feb,1.0,Male,Married,43.0,Policy Holder,Sedan - All Perils,Sedan,,5387.0,12.0,,2.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,,no change,1 vehicle,2019.0,All Perils,5386
Jan,5.0,Monday,Toyota,Urban,Monday,Jan,5.0,Male,Married,31.0,Policy Holder,,Sedan,,5388.0,3.0,400.0,,more than 30,,1,6 years,31 to 35,,No,External,none,no change,1 vehicle,2019.0,Collision,5387
,5.0,Friday,Mazda,Urban,Monday,Jan,5.0,Male,Married,53.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,5389.0,15.0,,3.0,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,5388
Jan,5.0,Friday,Honda,Urban,,Feb,1.0,Male,Single,27.0,Policy Holder,,Sedan,30000 to 39000,5390.0,16.0,400.0,2.0,,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,2019.0,,5389
Jan,3.0,Thursday,Honda,Urban,Thursday,Feb,1.0,Male,Married,50.0,,Sport - Collision,Sport,more than 69000,5391.0,7.0,400.0,1.0,more than 30,more than 30,none,more than 7,41 to 50,,No,External,none,,,2019.0,Collision,5390
,,thursday,toyota,urban,friday,jan,4.0,male,married,44.0,policy holder,sedan - collision,sedan,30000 to 39000,,,400.0,4.0,more than 30,more than 30,2 to 4,7 years,36 to 40,no,,external,3 to 5,no change,,2019.0,collision,5391
Jan,3.0,Tuesday,Mazda,Urban,Thursday,,3.0,Male,Married,30.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,,14.0,400.0,2.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,2019.0,,5392
,3.0,Monday,Honda,Urban,Monday,Jan,,Male,Single,0.0,Policy Holder,Sedan - Liability,Sport,more than 69000,,14.0,,1.0,,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,2019.0,Liability,5393
jan,3.0,saturday,toyota,urban,thursday,feb,3.0,male,single,21.0,third party,sedan - collision,sedan,less than 20000,5395.0,16.0,400.0,2.0,more than 30,more than 30,2 to 4,5 years,26 to 30,no,no,external,none,no change,1 vehicle,2019.0,collision,5394
jan,2.0,wednesday,pontiac,urban,tuesday,jan,3.0,male,married,49.0,policy holder,sedan - all perils,sedan,20000 to 29000,5396.0,16.0,400.0,1.0,more than 30,more than 30,2 to 4,more than 7,,no,no,external,more than 5,no change,1 vehicle,2019.0,,5395
,,Monday,Accura,Urban,Friday,Jan,,Male,Married,42.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,5397.0,15.0,400.0,4.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,All Perils,5396
,2.0,Monday,Mercury,Urban,Wednesday,Jan,3.0,,Married,53.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,5398.0,14.0,400.0,4.0,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,2019.0,All Perils,5397
,3.0,Friday,Pontiac,Urban,,Mar,3.0,Male,Married,38.0,Third Party,Sedan - Collision,,20000 to 29000,5399.0,7.0,400.0,4.0,more than 30,,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,,Collision,5398
Dec,,Friday,Toyota,,Monday,Jan,4.0,Male,Married,39.0,Policy Holder,,Sedan,more than 69000,5400.0,13.0,400.0,2.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,All Perils,5399
May,4.0,Thursday,Honda,Rural,Thursday,May,5.0,Male,Single,0.0,Policy Holder,Sedan - All Perils,Sedan,,,,400.0,2.0,more than 30,more than 30,,new,16 to 17,No,No,,none,no change,1 vehicle,2019.0,All Perils,5400
,4.0,Monday,VW,Urban,Thursday,Mar,1.0,Male,Married,59.0,Third Party,Sedan - All Perils,Sedan,,5402.0,16.0,400.0,,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,,no change,1 vehicle,2019.0,,5401
Mar,1.0,Friday,Chevrolet,Urban,Monday,Mar,,Male,Married,43.0,Policy Holder,Sedan - Liability,Sport,,5403.0,15.0,400.0,,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,2019.0,Liability,5402
,1.0,friday,mazda,urban,tuesday,apr,1.0,male,single,29.0,policy holder,sedan - collision,sedan,30000 to 39000,,14.0,400.0,1.0,more than 30,,2 to 4,6 years,31 to 35,no,no,external,none,no change,,2019.0,collision,5403
,2.0,Monday,Honda,Urban,,Jul,2.0,Male,Married,55.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,5405.0,12.0,400.0,4.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,3 to 5,no change,1 vehicle,,Collision,5404
jul,2.0,monday,pontiac,urban,monday,jul,2.0,female,married,37.0,policy holder,sedan - liability,,20000 to 29000,5406.0,3.0,,,more than 30,more than 30,2 to 4,7 years,,no,no,external,1 to 2,no change,1 vehicle,2019.0,liability,5405
feb,4.0,sunday,mazda,urban,thursday,mar,1.0,male,married,53.0,policy holder,sedan - liability,sport,20000 to 29000,5407.0,11.0,500.0,2.0,more than 30,,2 to 4,more than 7,41 to 50,no,no,external,3 to 5,2 to 3 years,,2019.0,liability,5406
Feb,4.0,Thursday,Toyota,Urban,Friday,Feb,,Male,Married,49.0,Policy Holder,,Sport,30000 to 39000,5408.0,6.0,400.0,,more than 30,more than 30,2 to 4,,41 to 50,No,No,External,none,no change,1 vehicle,2019.0,Liability,5407
apr,2.0,monday,,urban,wednesday,,3.0,male,married,,policy holder,sedan - collision,sedan,30000 to 39000,,13.0,400.0,4.0,more than 30,more than 30,2 to 4,6 years,,no,,external,none,no change,1 vehicle,,collision,5408
,3.0,saturday,pontiac,urban,,feb,4.0,male,married,50.0,policy holder,sedan - collision,sedan,20000 to 29000,5410.0,10.0,400.0,2.0,more than 30,more than 30,none,,41 to 50,,no,external,1 to 2,no change,1 vehicle,2019.0,collision,5409
feb,3.0,saturday,honda,urban,tuesday,feb,4.0,male,married,41.0,policy holder,sedan - liability,sport,20000 to 29000,5411.0,11.0,400.0,3.0,more than 30,more than 30,more than 4,7 years,36 to 40,no,no,external,none,no change,,2019.0,liability,5410
Aug,1.0,Monday,Honda,Urban,,Aug,1.0,Male,Single,,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,5412.0,15.0,400.0,2.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,,2019.0,All Perils,5411
Apr,3.0,Thursday,Jaguar,Urban,,Oct,4.0,Male,Married,41.0,,Sedan - Liability,Sport,40000 to 59000,5413.0,8.0,400.0,1.0,more than 30,,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,3 to 4,,Liability,5412
Jun,3.0,Wednesday,Pontiac,Urban,Thursday,Jun,3.0,Male,Married,49.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,5414.0,6.0,400.0,,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,2019.0,All Perils,5413
jun,2.0,sunday,pontiac,urban,,jun,3.0,male,married,59.0,policy holder,sedan - collision,sedan,20000 to 29000,5415.0,,400.0,4.0,more than 30,more than 30,none,more than 7,51 to 65,no,no,external,1 to 2,no change,1 vehicle,2019.0,collision,5414
Jun,2.0,Tuesday,Toyota,Urban,Tuesday,Jun,2.0,Male,Married,39.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,5416.0,1.0,400.0,,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,,2019.0,Liability,5415
Jun,2.0,,Honda,Urban,Friday,Jun,2.0,,Single,,Policy Holder,Sedan - Collision,Sedan,more than 69000,5417.0,2.0,400.0,1.0,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,2019.0,Collision,5416
